| | 出現等級 | 11~15 | 偏向性 | 體質 | 技能數量 | 4 | 屬性 | 木 |
| 藍鳳凰 | 掉寶資料 | 藍鳳凰卡、藍鳳凰娃娃 | | | | | | |

| | 出現等級 | 1 | 偏向性 | 力量 | 技能數量 | 4 | 屬性 | 光 |
| | 出現地點 | 椰子島(41~45) | | | | | | |
| | 可學技能 | 強化、恢復、連擊、裝死、賜福、推車、光系法術 | | | | | | |
| 卡拉龍 | 掉寶資料 | 卡拉龍卡、卡拉龍娃娃、紫星棒、合金盾、鱉、鈦礦石、王者寶石 | | | | | | |

| | 出現等級 | 1 | 偏向性 | 敏捷 | 技能數量 | 4 | 屬性 | 水 |
| | 出現地點 | 哈辛島(41~47) | | | | | | |
| | 可學技能 | 連擊、豬頭、裝死、賜福、推車、水系法術 | | | | | | |
| 水燈巨魔 | 掉寶資料 | 水燈巨魔卡、水燈巨魔娃娃 | | | | | | |

| | 出現等級 | 1 | 偏向性 | 力量 | 技能數量 | 4 | 屬性 | 火 |
| | 出現地點 | 罐頭地道B2(41~50) | | | | | | |
| | 可學技能 | 強化、連擊、轉換、吸血、推車、火系法術 | | | | | | |
| 熔岩獨角仙 | 掉寶資料 | 熔岩獨角仙卡、熔岩獨角仙娃娃 | | | | | | |

| | 出現等級 | 1 | 偏向性 | 體質 | 技能數量 | 4 | 屬性 | 木 |
| | 出現地點 | 彩色田(46~50) | | | | | | |
| | 可學技能 | 強化、恢復、裝死、轉換、亡命一擊、木系法術 | | | | | | |
| 綠草包 | 掉寶資料 | 綠草包卡、綠草包娃娃 | | | | | | |

| | 出現等級 | 1 | 偏向性 | 智慧 | 技能數量 | 4 | 屬性 | 金 |
| | 出現地點 | 哈啾島(46~50)、聽說島(61~65)、玫瑰島(66~70) | | | | | | |
| | 可學技能 | 強化、連擊、裝死、吸血、亡命一擊、金系法術 | | | | | | |
| 雷爵獸 | 掉寶資料 | 雷爵獸卡、雷爵獸娃娃、紫星棒、合金盾、鱉、鈦礦石、王者寶石 | | | | | | |

| | 出現等級 | 1 | 偏向性 | 智慧 | 技能數量 | 4 | 屬性 | 火 |
| | 出現地點 | 鬱金香島(51~55) | | | | | | |
| | 可學技能 | 強化、豬頭、裝死、賜福、亡命一擊、火系法術 | | | | | | |
| 火精靈 | 掉寶資料 | 火精靈卡、火精靈娃娃、灰龍斧、硬皮戎裝、鐵杉、鈦礦石、王者寶石 | | | | | | |

| | 出現等級 | 1 | 偏向性 | 力量 | 技能數量 | 4 | 屬性 | 木 |
| | 出現地點 | 巴斯迷宮B3(51~55) | | | | | | |
| | 可學技能 | 強化、連擊、威脅、吸血、犧牲、木系法術 | | | | | | |
| 小木魚 | 掉寶資料 | 小木魚卡、小木魚娃娃 | | | | | | |

| | 出現等級 | 1 | 偏向性 | 力量 | 技能數量 | 4 | 屬性 | 火 |
| | 出現地點 | 陽光森林(51~55) | | | | | | |
| | 可學技能 | 強化、恢復、連擊、轉換、推車、火系法術 | | | | | | |
| 超合金機器人 | 掉寶資料 | 超合金機器人卡、超合金機器人娃娃 | | | | | | |

| | 出現等級 | 45 | 偏向性 | 幸運 | 技能數量 | 4 | 屬性 | 光 |
| | 出現地點 | 冥界洞窟B2(51~55、66~70) | | | | | | |
| | 可學技能 | 強化、恢復、賜福、轉換、推車、犧牲、光系法術 | | | | | | |
| 小天使 | 掉寶資料 | 小天使卡、小天使娃娃 | | | | | | |

| | 出現等級 | 1 | 偏向性 | 體質 | 技能數量 | 4 | 屬性 | 木 |
| | 出現地點 | 拇指花園(51~60) | | | | | | |
| | 可學技能 | 恢復、轉換、吸血、推車、犧牲、木系法術 | | | | | | |
| 綠草菇 | 掉寶資料 | 綠草菇卡、綠草菇娃娃 | | | | | | |

| | 出現等級 | 1 | 偏向性 | 體質 | 技能數量 | 4 | 屬性 | 光 |
| | 出現地點 | 趴趴迷宮B1(56~60) | | | | | | |
| | 可學技能 | 連擊、裝死、威脅、吸血、亡命一擊、光系法術 | | | | | | |
| 亮晶晶 | 掉寶資料 | 亮晶晶卡、亮晶晶娃娃 | | | | | | |

| | 出現等級 | 1 | 偏向性 | 體質 | 技能數量 | 4 | 屬性 | 木 |
| | 出現地點 | 咕嚕島(56~60) | | | | | | |
| | 可學技能 | 強化、恢復、連擊、裝死、賜福、推車、木系法術 | | | | | | |
| 木鳳凰 | 掉寶資料 | 木鳳凰卡、木鳳凰娃娃、破甲棒、鋼鐵鎖子甲、鈦礦石、鐵杉、王者寶石 | | | | | | |

| | 出現等級 | 1 | 偏向性 | 體質 | 技能數量 | 4 | 屬性 | 土 |
| | 出現地點 | 百花谷(56~60) | | | | | | |
| | 可學技能 | 強化、恢復、裝死、轉換、亡命一擊、土系法術 | | | | | | |
| 稻草人 | 掉寶資料 | 稻草人卡、稻草人娃娃 | | | | | | |

| | 出現等級 | 1 | 偏向性 | 力量 | 技能數量 | 4 | 屬性 | 闇 |
| | 出現地點 | 冥界洞窟B3(56~60、66~72) | | | | | | |
| | 可學技能 | 強化、連擊、威脅、轉換、亡命一擊、闇系法術 | | | | | | |
| 闇夜獸 | 掉寶資料 | 闇夜獸卡、闇夜獸娃娃 | | | | | | |

| | 出現等級 | 65 | 偏向性 | 智慧 | 技能數量 | 4 | 屬性 | 闇 |
| | 出現地點 | 斷頭谷(61~65) | | | | | | |
| | 可學技能 | 連擊、豬頭、威脅、推車、亡命一擊、闇系法術 | | | | | | |
| 死神 | 掉寶資料 | 死神卡、死神娃娃 | | | | | | |

| | 出現等級 | 1 | 偏向性 | 智慧 | 技能數量 | 4 | 屬性 | 闇 |
| | 出現地點 | 荷花池塘(61~70) | | | | | | |
| | 可學技能 | 恢復、賜福、威脅、吸血、亡命一擊、闇系法術 | | | | | | |
| 壞壞司瓦諾 | 掉寶資料 | 壞壞司瓦諾卡、壞壞司瓦諾娃娃 | | | | | | |

| | 出現等級 | 1 | 偏向性 | 體質 | 技能數量 | 4 | 屬性 | 金 |
| | 出現地點 | 玫瑰園(66~70) | | | | | | |
| | 可學技能 | 連擊、賜福、轉換、推車、犧牲、金系法術 | | | | | | |
| 金蘭花 | 掉寶資料 | 金蘭花卡、金蘭花娃娃 | | | | | | |

| | 出現等級 | 1 | 偏向性 | 力量 | 技能數量 | 4 | 屬性 | 光 |
| | 出現地點 | 坦林平原(66~70) | | | | | | |
| | 可學技能 | 強化、恢復、連擊、轉換、推車、光系法術 | | | | | | |
| 鐵樵夫 | 掉寶資料 | 鐵樵夫卡、鐵樵夫娃娃 | | | | | | |

| | 出現等級 | 1 | 偏向性 | 力量 | 技能數量 | 4 | 屬性 | 光 |
| | 出現地點 | 巨岩島(66~72) | | | | | | |
| | 可學技能 | 強化、恢復、連擊、威脅、轉換 | | | | | | |
| 饅頭象 | 掉寶資料 | 饅頭象卡、饅頭象娃娃 | | | | | | |

| | 出現等級 | 1 | 偏向性 | 力量 | 技能數量 | 5 | 屬性 | 火 |
| | 出現地點 | 瓦尼島(67~70) | | | | | | |
| | 可學技能 | 強化、連擊、豬頭、裝死、轉換、亡命一擊、火系法術 | | | | | | |
| 火燒摳拉 | 掉寶資料 | 火燒摳拉卡、火燒摳拉娃娃 | | | | | | |

| | 出現等級 | 1 | 偏向性 | 智慧 | 技能數量 | 4 | 屬性 | 水 |
| | 出現地點 | 史蓋窩克海B1(71~75) | | | | | | |
| | 可學技能 | 強化、連擊、裝死、吸血、亡命一擊、水系法術 | | | | | | |
| 瓦特寶寶 | 掉寶資料 | 瓦特寶寶卡、瓦特寶寶娃娃、柳葉刀、大祭司袍、鱉、月葵、王者寶石 | | | | | | |

| | 出現等級 | 1 | 偏向性 | 敏捷 | 技能數量 | 4 | 屬性 | 闇 |
| | 出現地點 | 試煉洞窟B1(71~75) | | | | | | |
| | 可學技能 | 連擊、豬頭、裝死、賜福、推車、闇系法術 | | | | | | |
| 死光精靈 | 掉寶資料 | 死光精靈卡、死光精靈娃娃 | | | | | | |

| | 出現等級 | 1 | 偏向性 | 力量 | 技能數量 | 5 | 屬性 | 光 |
| | 出現地點 | 遺跡B4(76~78) | | | | | | |
| | 可學技能 | 連擊、裝死、賜福、吸血、推車、犧牲、光系法術 | | | | | | |
| 光美哆 | 掉寶資料 | 光美哆卡、光美哆娃娃 | | | | | | |

| | 出現等級 | 1 | 偏向性 | 體質 | 技能數量 | 5 | 屬性 | 木 |
| | 出現地點 | 遺跡B7(82~84) | | | | | | |
| | 可學技能 | 恢復、豬頭、裝死、轉換、推車、亡命一擊、木系法術 | | | | | | |
| 青草企鵝 | 掉寶資料 | 青草企鵝卡、青草企鵝娃娃 | | | | | | |

| | 出現等級 | 1 | 偏向性 | 智慧 | 技能數量 | 5 | 屬性 | 闇 |
| | 出現地點 | 遺跡B12(92~94) | | | | | | |
| | 可學技能 | 強化、賜福、威脅、推車、犧牲、亡命一擊、闇系法術 | | | | | | |
| 黑皮怕啃 | 掉寶資料 | 黑皮怕啃卡、黑皮怕啃娃娃 | | | | | | |

| | 出現等級 | 1 | 偏向性 | 力量 | 技能數量 | 5 | 屬性 | 水 |
| | 出現地點 | 遺跡B14(96~98) | | | | | | |
| | 可學技能 | 恢復、連擊、豬頭、賜福、推車、亡命一擊、水系法術 | | | | | | |
| 浮水大可獸 | 掉寶資料 | 浮水大可獸卡、浮水大可獸娃娃 | | | | | | |
